RATING,VOTES
3.71,18559
4.11,607
3.80,9818
3.84,6835
3.87,4182
3.76,11397
3.92,2086
3.88,3226
3.85,2945
3.70,7504
3.85,2577
3.83,1464
3.78,5451
3.88,934
3.74,5934
3.85,1456
3.80,3068
3.83,765
3.85,567
3.76,3629
3.81,1740
3.79,1631
3.78,2163
3.80,1763
3.83,659
3.79,1327
3.80,1940
3.81,697
3.73,2590
3.78,1374
3.74,3708
3.73,3683
3.77,1516
3.79,1597
3.72,2999
3.82,767
3.74,1509
3.72,2370
3.75,2127
3.73,2504
3.64,5696
3.73,1284
3.81,741
3.71,2515
3.72,1895
3.79,708
3.67,4301
3.79,645
3.69,2334
3.73,1113
3.75,799
3.75,757
3.73,1124
3.70,1321
3.51,9048
3.70,1423
3.65,3964
3.71,1061
3.76,814
3.70,1351
3.73,1465
3.65,3993
3.75,663
3.73,716
3.73,762
3.75,580
3.72,937
3.62,4739
3.65,3110
3.70,1743
3.61,4666
3.70,1797
3.75,515
3.68,1272
3.73,613
3.60,3874
3.70,790
3.73,724
3.66,2067
3.70,1437
3.75,574
3.65,1809
3.65,1420
3.69,1193
3.71,671
3.70,777
3.70,1004
3.71,877
3.72,590
3.67,828
3.71,564
3.67,588
3.61,2743
3.74,531
3.61,2285
3.69,882
3.59,5131
3.73,630
3.64,1622
3.54,7429
3.63,1628
3.65,977
3.62,565
3.56,4480
3.66,584
3.67,691
3.67,745
3.65,1892
3.70,513
3.61,1780
3.63,1586
3.65,1017
3.64,1079
3.64,863
3.62,1096
3.66,758
3.60,1787
3.60,2072
3.57,2635
3.63,861
3.63,609
3.58,1948
3.63,1097
3.64,610
3.63,569
3.68,520
3.60,1757
3.57,1196
3.62,989
3.62,645
3.64,715
3.61,1010
3.58,1585
3.54,2106
3.58,1503
3.63,513
3.62,502
3.63,857
3.57,2002
3.59,540
3.62,1058
3.57,941
3.59,1452
3.51,2414
3.56,2085
3.62,845
3.59,898
3.61,592
3.62,521
3.45,4181
3.57,858
3.59,702
3.55,1527
3.54,612
3.60,794
3.51,3519
3.61,695
3.55,1504
3.56,992
3.57,1240
3.56,1150
3.57,738
3.61,655
3.45,4193
3.53,1446
3.58,689
3.54,1243
3.59,526
3.54,778
3.56,926
3.51,1305
3.55,933
3.57,890
3.49,1382
3.48,2380
3.55,579
3.55,695
3.55,579
3.52,574
3.55,652
3.44,3045
3.49,885
3.50,1254
3.54,504
3.52,592
3.51,637
3.49,1438
3.47,1513
3.52,557
3.49,1088
3.53,799
3.50,654
3.49,977
3.51,836
3.52,504
3.48,1107
3.48,939
3.52,630
3.49,588
3.44,2197
3.41,3147
3.52,644
3.49,501
3.49,507
3.50,711
3.46,554
3.50,542
3.46,1164
3.48,672
3.42,2212
3.43,2747
3.50,834
3.48,649
3.44,780
3.44,638
3.51,594
3.47,932
3.47,612
3.42,1449
3.44,1046
3.42,1272
3.45,579
3.34,4011
3.44,1190
3.45,1088
3.43,1037
3.41,1799
3.46,629
3.42,715
